# time = 0
# Grid points = 169
# Domain Size = 14
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
   3.0348528203e+00   3.0077379213e+00   1.0000000000e+00   1.2500000000e-02   8.5866521709e-01  -2.0638093067e-01   2.4006339412e-02
   3.0881548165e+00   3.0619677193e+00   1.0000000000e+00   1.2500000000e-02   9.2041292275e-01  -1.7613924374e-01   3.3056397959e-02
   3.1398413023e+00   3.1143419138e+00   1.0000000000e+00   1.2500000000e-02   9.8230581745e-01  -1.5029794722e-01   4.1547682654e-02
   3.1903549787e+00   3.1653406908e+00   1.0000000000e+00   1.2500000000e-02   1.0443305633e+00  -1.2835909805e-01   4.9493177944e-02
   3.2400701568e+00   3.2153692665e+00   1.0000000000e+00   1.2500000000e-02   1.1064697000e+00  -1.0990794529e-01   5.6922811640e-02
   3.2893243930e+00   3.2647710471e+00   1.0000000000e+00   1.2500000000e-02   1.1687161644e+00  -9.4587375952e-02   6.3881088538e-02
   3.3384287044e+00   3.3138777390e+00   1.0000000000e+00   1.2500000000e-02   1.2310678882e+00  -8.2084402738e-02   7.0422989479e-02
   3.3876607848e+00   3.3629796698e+00   1.0000000000e+00   1.2500000000e-02   1.2935027095e+00  -7.2116723144e-02   7.6609295405e-02
   3.4372820005e+00   3.4123418999e+00   1.0000000000e+00   1.2500000000e-02   1.3559853336e+00  -6.4411779954e-02   8.2505683161e-02
   3.4875508042e+00   3.4622221012e+00   1.0000000000e+00   1.2500000000e-02   1.4184697233e+00  -5.8688453398e-02   8.8180798117e-02
   3.5387327888e+00   3.5128795072e+00   1.0000000000e+00   1.2500000000e-02   1.4808951273e+00  -5.4638721380e-02   9.3703125266e-02
   3.5911138188e+00   3.5645860704e+00   1.0000000000e+00   1.2500000000e-02   1.5431820678e+00  -5.1906841064e-02   9.9137073422e-02
   3.6450190061e+00   3.6176415672e+00   1.0000000000e+00   1.2500000000e-02   1.6052290569e+00  -5.0064593433e-02   1.0453810672e-01
   3.7008417321e+00   3.6723964449e+00   1.0000000000e+00   1.2500000000e-02   1.6669105269e+00  -4.8580111529e-02   1.0994675463e-01
